x,Firm,City,State,Seed,Early Vent.,Late Vent.,# of Funds,Total Fund Raised ($M),# of Investments,# of Exits,1,#,2,#_2,3,#_3,4,#_4,5,#_5,Website,Crunchbase URL,LinkedIn URL,col_25,State_2,Count,linkedin-private-codex,linkedin-private-claude,linkedin-private-cursor
,Rocket Ventures,Toledo,OH,1,,,2,$19.4,26,5,Software,7,Computer,4,Biotechnology,3,Medical,3,Information Technology,3,rocketventures.org,https://www.crunchbase.com/organization/rocket-ventures,linkedin.com/company/2702539,x,,,,,"https://www.linkedin.com/in/dan-slifko-b6b98361, https://www.linkedin.com/in/rocket-ventures-020a0144, https://www.linkedin.com/in/negin-najjarnejad, https://www.linkedin.com/in/steve-weathers-19814b18, https://www.linkedin.com/in/rodrigo-, https://www.linkedin.com/in/larry-roberts-0a06b14"
,Romulus Capital,Boston,MA,1,1,,5,$258.2,43,3,Health Care,8,Internet,6,Software,4,Medical Device,3,Big Data,3,romuluscap.com,https://www.crunchbase.com/organization/romulus-capital,https://www.linkedin.com/company/romulus-capital/,x,,,https://www.linkedin.com/in/gustai,,"https://www.linkedin.com/in/krishnakgupta, https://www.linkedin.com/in/neil-chheda-437a6817, https://www.linkedin.com/in/victoria-trujillo-a1bbb81a4"
,Root Ventures,San Francisco,CA,1,1,1,2,$108.1,26,2,Robotics,5,Software,4,Machine Learning,3,Consumer Electronics,3,Manufacturing,3,root.vc,https://www.crunchbase.com/organization/rootvc,https://www.linkedin.com/company/root-ventures/,x,,,"https://www.linkedin.com/in/avidanross, https://www.linkedin.com/in/leeredwards",,"https://www.linkedin.com/in/avidanross, https://www.linkedin.com/in/leeredwards"
,Rothenberg Ventures,San Francisco,CA,1,1,1,4,$50.0,106,18,Virtual Reality,19,Software,17,E-Commerce,11,Mobile,11,Digital Media,9,rothenbergventures.com,https://www.crunchbase.com/organization/rothenberg-ventures,https://www.linkedin.com/company/rothenberg-ventures/,x,,,,,"https://www.linkedin.com/in/mohsin-ali8448, https://www.linkedin.com/in/startupfinance, https://www.linkedin.com/in/subhradip-biswas-152756186, https://www.linkedin.com/in/jordan-underwood-06680a8b, https://www.linkedin.com/in/kori-shaw, https://www.linkedin.com/in/themillennialvc"
,Router Ventures,Omaha,NE,1,1,,1,$1.0,6,,Artificial Intelligence,2,Data Integration,1,Food & Beverage,1,Drones,1,Internet,1,routerventures.com,https://www.crunchbase.com/organization/router-ventures,https://www.linkedin.com/company/router-ventures/,x,,,,,
,Rubicon VC,San Francisco,CA,1,1,1,2,$25.0,32,2,Mobile,5,E-Commerce,3,Social Media,3,Media and Entertainment,3,,,rubicon.vc,https://www.crunchbase.com/organization/rubicon-venture-capital,https://www.linkedin.com/company/rubicon-venture-capital/,x,,,,,"https://www.linkedin.com/in/christopherdramsey, https://www.linkedin.com/in/moriyoshi-matsumoto-6282986b, https://www.linkedin.com/in/pppatel, https://www.linkedin.com/in/abenmeir, https://www.linkedin.com/in/derekproudian"
,S28 Capital,San Francisco,CA,1,,,1,$170.0,30,4,SaaS,7,Health Care,6,Machine Learning,5,Information Technology,5,Cloud Computing,3,s28capital.com,https://www.crunchbase.com/organization/spectrum-28,linkedin.com/company/7799208,x,,,,,"https://www.linkedin.com/in/sunny-wong-7b266a53, https://www.linkedin.com/in/anne-lo-931b71351, https://www.linkedin.com/in/joshua-less-727b943b, https://www.linkedin.com/in/durrey-haynes-0188a021, https://www.linkedin.com/in/dmacduncan, https://www.linkedin.com/in/willie-wan-00612598"
,S2G Ventures,Chicago,IL,1,,,2,$305.0,33,1,Food & Beverage,8,Biotechnology,7,Agriculture,7,Food Preocessing,6,Health Care,5,s2gventures.com,https://www.crunchbase.com/organization/s2g-ventures,linkedin.com/company/6600658,x,,,,,"https://www.linkedin.com/in/jessica-murphy-s2g, https://www.linkedin.com/in/amir-fata-193605191, https://www.linkedin.com/in/wendy-alderman-00316020, https://www.linkedin.com/in/mike-rader-90a687213, https://www.linkedin.com/in/hannah-kendall-28b7b31b5, https://www.linkedin.com/in/monica-jensen-194b511b4"
,S3 Ventures,Austin,TX,1,,,6,$310.0,51,13,Software,11,Mobile,5,Enterprise Software,4,Information Technology,4,Advertising,3,s3vc.com,https://www.crunchbase.com/organization/s3-ventures,linkedin.com/company/2173399,x,,,,,"https://www.linkedin.com/in/andy-hung-712b721, https://www.linkedin.com/in/jing-l-6069051b3, https://www.linkedin.com/in/merrye, https://www.linkedin.com/in/kathryn-d-professional, https://www.linkedin.com/in/shyam-shah-5445a6b0, https://www.linkedin.com/in/harrison-horn-81317879, https://www.linkedin.com/in/williambradley0"
,SaaStr Fund,San Francisco,CA,1,1,,1,$70.0,6,,SaaS,4,Software,3,Search Engine,1,Internet,1,Environmental Consulting,1,saastrfund.com,https://www.crunchbase.com/organization/saastr-fund,https://www.linkedin.com/company/saastr/,x,,,,,"https://www.linkedin.com/in/jasonmlemkin, https://www.linkedin.com/in/jonathan-livescault-66b1168, https://www.linkedin.com/in/shauninsatx, https://www.linkedin.com/in/stuart-currie-79a8067b, https://www.linkedin.com/in/bernie-lynch-8a615829, https://www.linkedin.com/in/yishi88"
,Safeguard Scientifics,Radnor,PA,1,,,,,126,28,Health Care,29,Biotechnology,14,Medical,14,Internet,10,Analytics,10,safeguard.com,https://www.crunchbase.com/organization/safeguard-scientifics,linkedin.com/company/30123,x,,,,,"https://www.linkedin.com/in/g-matthew-barnard, https://www.linkedin.com/in/bolaji-sogo-alonge, https://www.linkedin.com/in/dee-blackburn-a440a41a, https://www.linkedin.com/in/daw-fesa-23a9a715b, https://www.linkedin.com/in/cherylcarcella, https://www.linkedin.com/in/pybus-scot-a9525a66"
,Sandalphon Capital,Chicago,IL,1,1,,,,17,,Real Estate,4,SaaS,3,Software,3,Restaurants,2,Consumer Software,2,sandalphoncapital.com,https://www.crunchbase.com/organization/sandalphon-capital,https://www.linkedin.com/company/sandalphon-capital/,x,,,"https://www.linkedin.com/in/claude-cimeus-37550874, https://www.linkedin.com/in/ellisjr, https://cl.linkedin.com/in/domingoclaroc",,"https://www.linkedin.com/in/claude-cimeus-37550874, https://www.linkedin.com/in/ellisjr, https://cl.linkedin.com/in/domingoclaroc"
,Sanderling Ventures,San Mateo,CA,1,,,2,$30.0,81,12,Health Care,25,Biotechnology,23,Pharmaceutical,10,Medical,10,Therapeutics,9,sanderling.com,https://www.crunchbase.com/organization/sanderling-ventures,linkedin.com/company/56490,x,,,,,"https://www.linkedin.com/in/fred-middleton-7939a810, https://www.linkedin.com/in/paulette-taylor-9665a64, https://www.linkedin.com/in/paul-grayson-372b525, https://www.linkedin.com/in/betty-bloxham-3754705, https://www.linkedin.com/in/mariko-matsumoto-ab7562, https://www.linkedin.com/in/lindarae-polaha-458a0922"
,Sands Capital Ventures,Arlington,VA,1,1,1,2,$197.2,45,10,Health Care,7,Biotechnology,7,Information Technology,6,Enterprise Software,5,FinTech,5,sandscapitalventures.com,https://www.crunchbase.com/organization/sands-capital-ventures,https://www.linkedin.com/company/sands-capital-venture/,x,,,,,"https://www.linkedin.com/in/jonathan-goodman-4aa76240, https://www.linkedin.com/in/ian-ratcliffe-4317aa3, https://www.linkedin.com/in/shannon-pederson-29440282, https://www.linkedin.com/in/glenna-boas-cpa-71366177, https://www.linkedin.com/in/annie-mccormick-6908764, https://www.linkedin.com/in/brian-rabe-64551a19a"
,Santa Barbara Angel Alliance,Santa Barbara,CA,1,,,,,2,,Impact Investing,1,Medical Device,1,Personalization,1,Marketplace,1,Rental Property,1,sbangelalliance.com,https://www.crunchbase.com/organization/santa-barbara-angel-alliance,linkedin.com/company/17921268,x,,,,,"https://www.linkedin.com/in/johnpetote, https://www.linkedin.com/in/craig-r-cummings-3215813, https://www.linkedin.com/in/rafael-h-saavedra-4a91504, https://www.linkedin.com/in/bobgreenberg1, https://www.linkedin.com/in/samir-han-4a367248, https://www.linkedin.com/in/montewilson"
,Saturn Partners,Boston,MA,1,,,,,19,2,Education,2,Medical Device,2,Enterprise Software,2,FinTech,2,Network Security,1,saturnpartnersvc.com,https://www.crunchbase.com/organization/saturn-venture-partners,linkedin.com/company/147527,x,,,,,"https://www.linkedin.com/in/carole-crawford, https://www.linkedin.com/in/carole-crawford-aa720094, https://www.linkedin.com/in/carole-crawford-124658100, https://www.linkedin.com/in/megan-mccormick-b6335549, https://www.linkedin.com/in/emily-appel-46a164128, https://www.linkedin.com/in/leanne-cannon-066293232"
,Schematic Ventures,New York,NY,1,1,,,,3,,Robotics,2,Logistics,2,Machine Learning,1,Supply Chain Management,1,Warehousing,1,schematicventures.com,https://www.crunchbase.com/organization/schematic-ventures,https://www.linkedin.com/company/schematic-ventures/,x,,,"https://www.linkedin.com/in/juliancounihan, https://www.linkedin.com/in/alexeyfreed",,"https://www.linkedin.com/in/juliancounihan, https://www.linkedin.com/in/alexeyfreed"
,Science,Santa Monica,CA,1,1,,3,$93.2,33,7,Internet,6,Financial Services,4,Finance,4,iOS,3,Mobile,3,science-inc.com,https://www.crunchbase.com/organization/science,https://www.linkedin.com/company/science-media/,x,,,,,"https://www.linkedin.com/in/inc-science-108632296, https://www.linkedin.com/in/derick-r-795a736a, https://www.linkedin.com/in/s-robin-8693a7147, https://www.linkedin.com/in/billydeng, https://www.linkedin.com/in/danielle-dusenberry-4830b454, https://www.linkedin.com/in/atnguyen01"
,Scottie Ventures,Pittsburgh,PA,1,,,,,,,,,,,,,,,,,scottieventures.com,,linkedin.com/company/10830817,x,,,,,"https://www.linkedin.com/in/thomasxiaous, https://www.linkedin.com/in/rishabjain22, https://www.linkedin.com/in/viviana-chen-82771a32a, https://www.linkedin.com/in/aryaman-verma, https://www.linkedin.com/in/ethan-kk-yeo, https://www.linkedin.com/in/sriya-putta"
,Scout Ventures,New York,NY,1,1,,4,$1.1,86,16,Mobile,9,SaaS,8,Software,8,Digital Media,6,Analytics,6,scoutventures.com,https://www.crunchbase.com/organization/scout-ventures,https://www.linkedin.com/company/scout-ventures/,x,,,"https://www.linkedin.com/in/ambassador-kenneth-j-%E2%80%9Ckj%E2%80%9D-braithwaite-ba390511, https://www.linkedin.com/in/tim-kopra, https://www.linkedin.com/in/troy-lambeth-5688899",,"https://www.linkedin.com/in/ambassador-kenneth-j-%E2%80%9Ckj%E2%80%9D-braithwaite-ba390511, https://www.linkedin.com/in/tim-kopra, https://www.linkedin.com/in/troy-lambeth-5688899"
,Scrum Ventures,San Francisco,CA,1,1,1,2,$24.0,48,5,Mobile,8,Health Care,6,Software,5,Big Data,4,E-Commerce,3,scrum.vc,https://www.crunchbase.com/organization/scrum-ventures,https://www.linkedin.com/company/scrum-ventures/,x,,,"https://www.linkedin.com/in/takmiyata/ja, https://jp.linkedin.com/in/michael-hideki-matsumura-cfa-0987319, https://www.linkedin.com/in/michael-yan-8564b83bb",,"https://www.linkedin.com/in/tak-miyata, https://www.linkedin.com/in/shuji-nakata, https://www.linkedin.com/in/akanemiura, https://www.linkedin.com/in/masamitakahashi"
,Seattle Angel Fund,Seattle,WA,1,1,,3,$7.7,5,,Computer,2,Software,2,Internet,1,Business Intelligence,1,Digital Media,1,seattleangelfund.net,https://www.crunchbase.com/organization/seattle-angel-fund,https://www.linkedin.com/company/seachangefund/,x,,,,,"https://www.linkedin.com/in/seattleangelfund, https://www.linkedin.com/in/seattle-angel-fund-angel-investors-in-the-northwest-a04808108, https://www.linkedin.com/in/tduffin, https://www.linkedin.com/in/susanpreston, https://www.linkedin.com/in/jeffdenenholz, https://www.linkedin.com/in/allisonsparks"
,Seraph Group,San Mateo,CA,1,,,1,$3.6,38,10,Health Care,9,Software,5,Social Media,4,Biotechnology,4,Analytics,4,seraphgroup.net,https://www.crunchbase.com/organization/seraph-group,linkedin.com/company/121220,x,,,,,"https://www.linkedin.com/in/seraph-group-42370591, https://www.linkedin.com/in/tuff-yen-0ab64b10b, https://www.linkedin.com/in/seraph-group-1473a813b, https://www.linkedin.com/in/dkleinberg, https://www.linkedin.com/in/petertruwit, https://www.linkedin.com/in/jordan-horder-04068a159"
,Serra Ventures,Champaign/Chicago,IL,1,1,1,3,$39.8,176,9,Health Care,12,Biotechnology,9,Software,8,Medical,7,Medical Device,6,serraventures.com,https://www.crunchbase.com/organization/serra-ventures,https://www.linkedin.com/company/serra-ventures/,x,,,,,"https://www.linkedin.com/in/jackmarck, https://www.linkedin.com/in/robaschultz, https://www.linkedin.com/in/timhoerr, https://www.linkedin.com/in/eric-wilson-67936a90, https://www.linkedin.com/in/drew-beard-552703207, https://www.linkedin.com/in/mark-k-smith-phd-4961ba5"
,Seven Peaks Ventures,Bend,OR,1,1,,2,$35.4,42,2,Software,8,SaaS,6,Enterprise Software,5,Health Care,4,Machine Learning,3,sevenpeaksventures.com,https://www.crunchbase.com/organization/seven-peaks-ventures,https://www.linkedin.com/company/seven-peaks-ventures/,x,,,,,"https://www.linkedin.com/in/joseph-franzi-0b41a2b7, https://www.linkedin.com/in/matt-williams-59ba6842, https://www.linkedin.com/in/brandonna, https://www.linkedin.com/in/jeaninealexnader, https://www.linkedin.com/in/benbulkley, https://www.linkedin.com/in/tom-willingham-94129a61"
,SG VC,Beverly Hills,CA,1,1,1,3,$101.1,56,11,FinTech,7,E-Commerce,5,SaaS,5,Enterprise Software,5,Marketplace,4,sg-vc.com,https://www.crunchbase.com/organization/sgvc,https://www.linkedin.com/company/sg-vc/,x,,,,,"https://www.linkedin.com/in/dr-med-judith-bering-a7559678, https://www.linkedin.com/in/chancs"
,ShangBay Capital,Palo Alto,CA,1,,,,,6,,Health Care,6,Medical Device,3,Biotechnology,3,Biopharma,2,Therapeutics,2,shangbaycapital.com,https://www.crunchbase.com/organization/shangbay-capital,linkedin.com/company/18538707,x,,,,,"https://www.linkedin.com/in/johnhedai, https://www.linkedin.com/in/shen-chaucer-3214a422, https://www.linkedin.com/in/alex-dai-891605189, https://www.linkedin.com/in/brandon-wang-79b277200, https://www.linkedin.com/in/gaokyb, https://www.linkedin.com/in/rich-trimble-md-ms-6b242194"
,Shrug Capital,San Francisco,CA,1,1,,,,,,,,,,,,,,,,shrug.vc,,https://www.linkedin.com/company/shrug-capital/,x,,,https://www.linkedin.com/in/nivdror,,"https://www.linkedin.com/in/nivdror, https://www.linkedin.com/in/moshe-lifschitz-906a8b9b, https://www.linkedin.com/in/aley-king-8aa2ab175"
,Sidar Global Ventures,Washington,DC,1,,,,,,,,,,,,,,,,,sidarglobal.com,https://www.crunchbase.com/organization/sidar-global-advisors,linkedin.com/company/1130407,x,,,,,"https://www.linkedin.com/in/kamlesh-sidar-5380661b1, https://www.linkedin.com/in/laxmi-sidar-248942219, https://www.linkedin.com/in/jeanne-ramier, https://www.linkedin.com/in/skbeg, https://www.linkedin.com/in/cevdet-ceyhan-70621ba4, https://www.linkedin.com/in/brandon-berkan-guven-8395801a0"
,Sierra Wasatch Capital,Truckee,CA,1,1,1,,,4,,Software,2,Real Time,1,Android,1,Social Media,1,iOS,1,sierrawasatch.com,https://www.crunchbase.com/organization/sierra-wasatch-capital,https://www.linkedin.com/company/sierra-wasatch-capital/,x,,,,,https://www.linkedin.com/in/steve-carroll-406aa647
,SierraMaya360 VC,Los Angeles,CA,1,,,,,46,6,Software,7,E-Commerce,6,Mobile,6,Internet,5,Social Media,5,sierramaya360.vc,https://www.crunchbase.com/organization/sierramaya360-2#section-overview,linkedin.com/company/3178499,x,,,,,https://www.linkedin.com/in/glenhoward
,Signia Venture Partners,Menlo Park,CA,1,1,,3,$250.0,79,14,Software,15,Mobile,13,Information Technology,8,Gaming,7,Online Games,6,signiaventurepartners.com,https://www.crunchbase.com/organization/signia-venture-partners,https://www.linkedin.com/company/signia-venture-partners/,x,,,"https://www.linkedin.com/in/sundhillon, https://www.linkedin.com/in/zawthet, https://www.linkedin.com/in/rlthompson",,"https://www.linkedin.com/in/sundhillon, https://www.linkedin.com/in/zawthet, https://www.linkedin.com/in/rlthompson"
,Silicom Ventures,Los Altos,CA,1,,,,,2,1,Hardware,1,Software,1,,,,,,,silicomventures.com,https://www.crunchbase.com/organization/silicom-ventures,linkedin.com/company/3614939,x,,,,,"https://www.linkedin.com/in/edith-o-7764861, https://www.linkedin.com/in/ashleyjaros, https://www.linkedin.com/in/linda-law-69a9622, https://www.linkedin.com/in/dominic-grondin-6b40b73b"
,Silicon Badia,New York,NY,1,1,,1,,59,2,SaaS,10,Internet,6,Financial Service,6,Big Data,6,E-Commerce,5,siliconbadia.com,https://www.crunchbase.com/organization/silicon-badia,https://www.linkedin.com/company/silicon-badia/,x,,,,,"https://www.linkedin.com/in/fawazhzubi, https://www.linkedin.com/in/hossam-shafick, https://www.linkedin.com/in/moukhtar-haffar-b79905134, https://www.linkedin.com/in/adam-parkey-278a7726a, https://www.linkedin.com/in/tareq-faddah-01970512, https://www.linkedin.com/in/maryamaburagheb"
,Sinewave Ventures,Washington D.C.,DC,1,1,1,5,$60.3,9,1,Enterprise Software,4,Machine Learning,3,Network Security,2,Cyber Security,2,Analytics,2,sinewave.vc,https://www.crunchbase.com/organization/sinewave-ventures,https://www.linkedin.com/company/sinewave-ventures/,x,,,"https://www.linkedin.com/in/brian-hibbeln-46baa628, https://www.linkedin.com/in/charles-kleinsmith, https://www.linkedin.com/in/claire-pittman, https://www.linkedin.com/in/howardlevenson, https://www.linkedin.com/in/j-david-harris-364086205, https://www.linkedin.com/in/leah-rachman-617a9079, https://www.linkedin.com/in/maggieswells, https://www.linkedin.com/in/nikeshkalra, https://www.linkedin.com/in/olibby, https://www.linkedin.com/in/patricia-muoio-10037775, https://www.linkedin.com/in/yanevsuissa",,"https://www.linkedin.com/in/yanevsuissa, https://www.linkedin.com/in/charles-kleinsmith, https://www.linkedin.com/in/howardlevenson, https://www.linkedin.com/in/j-david-harris-364086205, https://www.linkedin.com/in/patricia-muoio-10037775"
,SixThirty CYBER,Saint Louis,MO,1,,,,,3,,Identity Managemant,2,Software,2,Fraud Detection,1,Cyber Security,1,Security,1,sixthirtycyber.com,https://www.crunchbase.com/organization/sixthirty-cyber,linkedin.com/company/10784919,x,,,,,"https://www.linkedin.com/in/stevenrthomas, https://www.linkedin.com/in/rjwatsoniii, https://www.linkedin.com/in/hydesamuelwongjr"
,SixThirty Global FinTech Fund,Saint Louis,MO,1,,,1,$7.2,42,1,Financial Service,18,FinTech,16,Finance,9,Banking,8,Payments,7,sixthirty.co,https://www.crunchbase.com/organization/sixthirty,linkedin.com/company/3290724,x,,,,,"https://www.linkedin.com/in/tyler-short-stl, https://www.linkedin.com/in/doug-pickett-09154a5, https://www.linkedin.com/in/everett-brown-9b951a181, https://www.linkedin.com/in/bri-ash-8980b117a, https://www.linkedin.com/in/damani-hanks-570081135, https://www.linkedin.com/in/heidi-graves-a9385854"
,SK Innopartners,Sunnyvale,CA,1,,,,,5,,Data Center 2,0,Energy,1,Service Industry,1,Application Performance Management,1,Machine Learning,1,sktainnopartners.com,https://www.crunchbase.com/organization/sk-telecom-americas-innopartners,linkedin.com/company/3155401,x,,,,,
,SK Ventures,San Francisco,CA,1,,,4,$1.1,52,9,Software,13,Robotics,6,Big Data,6,Enterprise Software,6,Cloud Computing,5,skvcap.com,https://www.crunchbase.com/organization/sk-ventures,,x,,,,,"https://www.linkedin.com/in/dhanesh-agarwal-77288068, https://www.linkedin.com/in/pankaj-thakur-a21479155, https://www.linkedin.com/in/sk-ventures-969279255, https://www.linkedin.com/in/saul-kaplan-158a0ab, https://www.linkedin.com/in/rabin-shrestha-768aa6208"
,Sky Ventures Group,Boston,MA,1,,,,,9,,Health Care,6,Medical,4,Biotechnology,3,Medical Device,2,Consumer Electronics,2,sky-ventures.com,https://www.crunchbase.com/organization/sky-ventures-group,linkedin.com/company/3862413,x,,,,,"https://www.linkedin.com/in/wonkguy, https://www.linkedin.com/in/brett-hardman-800a471a8, https://www.linkedin.com/in/asa-valenti-mba, https://www.linkedin.com/in/tatyana-abyzov-01426a13, https://www.linkedin.com/in/pamela-layton-32a31a82, https://www.linkedin.com/in/jessica-desai"
,Slater Technology Fund,Providence,RI,1,,,,,42,4,Biotechnology,8,Health Care,6,Software,6,Energy,4,Medical,4,slaterfund.com,https://www.crunchbase.com/organization/slater-technology-fund,linkedin.com/company/4029977,x,,,"https://www.linkedin.com/in/alden-anderson-1237228, https://www.linkedin.com/in/bchatham, https://www.linkedin.com/in/bethany-jenkins-486b877, https://www.linkedin.com/in/bob-maccini-482a16, https://www.linkedin.com/in/christopher-graham-7280a911a, https://www.linkedin.com/in/don-stanford-5669322, https://www.linkedin.com/in/jason-harry-254196, https://www.linkedin.com/in/jayne-donegan-6710854b, https://www.linkedin.com/in/jonathan-mancini-305a1aa, https://www.linkedin.com/in/kevinwilbur, https://www.linkedin.com/in/kimani-toussaint-9b42732a0, https://www.linkedin.com/in/lawrence-larson-0331924, https://www.linkedin.com/in/louguercia, https://www.linkedin.com/in/nancy-gray-7737b476, https://www.linkedin.com/in/pmandeville, https://www.linkedin.com/in/stephen-eaves-47869a33, https://www.linkedin.com/in/thorne-sparkman-3732311, https://www.linkedin.com/in/zking",,"https://www.linkedin.com/in/alden-anderson-1237228, https://www.linkedin.com/in/bchatham, https://www.linkedin.com/in/bethany-jenkins-486b877, https://www.linkedin.com/in/bob-maccini-482a16, https://www.linkedin.com/in/christopher-graham-7280a911a, https://www.linkedin.com/in/don-stanford-5669322, https://www.linkedin.com/in/jason-harry-254196, https://www.linkedin.com/in/jayne-donegan-6710854b, https://www.linkedin.com/in/jonathan-mancini-305a1aa, https://www.linkedin.com/in/kevinwilbur, https://www.linkedin.com/in/kimani-toussaint-9b42732a0, https://www.linkedin.com/in/lawrence-larson-0331924, https://www.linkedin.com/in/louguercia, https://www.linkedin.com/in/nancy-gray-7737b476, https://www.linkedin.com/in/pmandeville, https://www.linkedin.com/in/stephen-eaves-47869a33, https://www.linkedin.com/in/thorne-sparkman-3732311, https://www.linkedin.com/in/zking"
,SmartGateVC,San Francisco,CA,1,,,,,,,,,,,,,,,,,smartgate.vc,,linkedin.com/company/13255507,x,,,,,"https://www.linkedin.com/in/ashotarzumanyan, https://www.linkedin.com/in/arega"
,Social Leverage,San Diego,CA,1,,,3,,85,25,Financial Service,13,Mobile,13,Social Media,10,FinTech,10,Analytics,9,socialleverage.com,https://www.crunchbase.com/organization/social-leverage,https://www.linkedin.com/company/social-leverage-llc/,x,,,"https://www.linkedin.com/in/ethan-berk, https://www.linkedin.com/in/evanrapoport1, https://www.linkedin.com/in/garybenitt, https://www.linkedin.com/in/howardlindzon, https://www.linkedin.com/in/kordell-theadford, https://www.linkedin.com/in/obermattj, https://www.linkedin.com/in/tom-peterson-78693715",,"https://www.linkedin.com/in/ethan-berk, https://www.linkedin.com/in/evanrapoport1, https://www.linkedin.com/in/garybenitt, https://www.linkedin.com/in/howardlindzon, https://www.linkedin.com/in/kordell-theadford, https://www.linkedin.com/in/obermattj, https://www.linkedin.com/in/tom-peterson-78693715"
,SoGal Ventures,Los Angeles,CA,1,1,,,,10,,E-Commerce,2,Cosmetics,2,Beauty,2,Welllness,2,Fashion,2,sogalventures.com,https://www.crunchbase.com/organization/sogal-ventures-2,https://www.linkedin.com/company/sogal-ventures/,x,,,,,"https://www.linkedin.com/in/egalbut, https://www.linkedin.com/in/pocketsun, https://www.linkedin.com/in/amylinmengju, https://www.linkedin.com/in/chenerin, https://www.linkedin.com/in/verona, https://www.linkedin.com/in/myrtie-sebestova-517a98225"
,Sonoma Brands,Sonoma,CA,1,1,1,1,$60.0,5,,Food & Beverage,4,Restaurents,2,Food Preocessing,2,Subscription Service,1,E-Commerce,1,sonomabrands.com,https://www.crunchbase.com/organization/sonoma-brands,https://www.linkedin.com/company/sonoma-brands/,x,,,,,"https://www.linkedin.com/in/jonsebastiani, https://www.linkedin.com/in/kevin-murphy-79347814, https://www.linkedin.com/in/benjaminjang, https://www.linkedin.com/in/shahir-amin-72651924, https://www.linkedin.com/in/sid-caravati-4a4646182, https://www.linkedin.com/in/johnwilson51"
,SOSV,Princeton,NJ,1,1,,2,$150.0,1186,28,Biotechnology,115,Health Care,88,Software,68,Hardware,57,Food & Beverage,54,sosv.com,https://www.crunchbase.com/organization/sosv,https://www.linkedin.com/company/sosvvc/,x,,,"https://www.linkedin.com/in/parikshit-sharma-indiebio, https://www.linkedin.com/in/sean-sosv, https://pt.linkedin.com/in/benjaminjoffe, https://www.linkedin.com/in/neddesmond, https://www.linkedin.com/in/mohansiyer, https://sa.linkedin.com/in/williambaobean",,"https://www.linkedin.com/in/parikshit-sharma-indiebio, https://www.linkedin.com/in/sean-sosv, https://pt.linkedin.com/in/benjaminjoffe, https://www.linkedin.com/in/neddesmond, https://www.linkedin.com/in/mohansiyer, https://sa.linkedin.com/in/williambaobean"
,South Ventures,Key Biscayne,FL,1,1,1,,,6,2,Education,2,Mobile,2,Photography,1,E-Commerce,1,Digital Media,1,sthventures.comen,https://www.crunchbase.com/organization/south-ventures,https://www.linkedin.com/company/south-ventures/,x,,,,,"https://www.linkedin.com/in/mac-south-916223360, https://www.linkedin.com/in/jorge-kaplan-0504a21b5, https://www.linkedin.com/in/abhishek-singhvee-0183a262, https://www.linkedin.com/in/albert-jay-tuico-91a40522b, https://www.linkedin.com/in/punitha-t-2126169b, https://www.linkedin.com/in/harsh-r-jain-415a66205"
,Southbox,Philadelphia,PA,1,,,2,$30.3,1,,Health Care,1,Machine Learning,1,Medical,1,Computer Vision,1,,,southbox.io,https://www.crunchbase.com/organization/southbox,linkedin.com/company/11057437,x,,,,,"https://www.linkedin.com/in/walidaitharma, https://www.linkedin.com/in/agustin-marmol, https://www.linkedin.com/in/luciano-ortiz-79354a108, https://www.linkedin.com/in/lucas-mardones-972169245, https://www.linkedin.com/in/valeria-roco-856a9b105, https://www.linkedin.com/in/josue-rodriguez-713001201"
,Space Pirates,Brooklyn,NY,1,,,,,5,1,Fitness,1,Business Development,1,Consumer,1,E-Commerce,1,Internet,1,teamspacepirates.com,https://www.crunchbase.com/organization/space-pirates,linkedin.com/company/24430045,x,,,,,"https://www.linkedin.com/in/reneedesousa, https://www.linkedin.com/in/hirokazu-degawa, https://www.linkedin.com/in/rohan-best-1795b525, https://www.linkedin.com/in/samuele-bergamaschi-b51518142, https://www.linkedin.com/in/altairhernandez, https://www.linkedin.com/in/louiebergendal"
,Spider Capital,San Francisco,CA,1,,,,,31,1,Software,10,SaaS,5,Machine Learning,5,Computer,5,Analytics,3,spidercp.com,https://www.crunchbase.com/organization/spider-capital-partners,linkedin.com/company/7800319,x,,,,,"https://www.linkedin.com/in/michaelneril, https://www.linkedin.com/in/minsoochi, https://www.linkedin.com/in/spider13, https://www.linkedin.com/in/jodi-richter-038602104, https://www.linkedin.com/in/bt-khumbah, https://www.linkedin.com/in/kimberly-mecham-629a29b"
,Spread Corporation,Los Angeles,CA,1,,,,,1,,,,,,,,,,,,spreadcorporation.com,https://www.crunchbase.com/organization/propagate-content,linkedin.com/company/33187657,x,,,,,https://www.linkedin.com/in/salma-salazar-4b074716b
,SpringTime Ventures,Denver,CO,1,,,,,4,,Photography,1,Food & Beverage,1,Social Media Marketing,1,Health Care,1,Social Media,1,springtimeventures.com,https://www.crunchbase.com/organization/springtime-ventures,linkedin.com/company/10889855,x,,,,,"https://www.linkedin.com/in/allyson-plosko-551a5934, https://www.linkedin.com/in/richmaloy, https://www.linkedin.com/in/matt-blomstedt-b2120036, https://www.linkedin.com/in/rickpatch, https://www.linkedin.com/in/tristan-gardner, https://www.linkedin.com/in/paun-niculae-b496491b0"
